model,val_roc_auc,train_roc_auc,val_accuracy,train_accuracy,val_f1_score,train_f1_score,features,preprocessing,C,class_weight,dual,fit_intercept,intercept_scaling,l1_ratio,max_iter,multi_class,n_jobs,penalty,random_state,solver,tol,verbose,warm_start,ccp_alpha,criterion,max_depth,max_features,max_leaf_nodes,min_impurity_decrease,min_impurity_split,min_samples_leaf,min_samples_split,min_weight_fraction_leaf,presort,splitter,bootstrap,max_samples,n_estimators,oob_score,algorithm,leaf_size,metric,metric_params,n_neighbors,p,weights,break_ties,cache_size,coef0,decision_function_shape,degree,gamma,kernel,probability,shrinking,alpha,average,early_stopping,epsilon,eta0,learning_rate,loss,n_iter_no_change,power_t,shuffle,validation_fraction,base_estimator,objective,use_label_encoder,base_score,booster,colsample_bylevel,colsample_bynode,colsample_bytree,gpu_id,importance_type,interaction_constraints,max_delta_step,min_child_weight,missing,monotone_constraints,num_parallel_tree,reg_alpha,reg_lambda,scale_pos_weight,subsample,tree_method,validate_parameters,verbosity,eval_metric,class_prior,fit_prior,priors,var_smoothing,seed
XGBClassifier,0.9272357157188398,0.998947953125116,,,,,,,,,,,,,,,,,,,,,,,,59.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.061428530234639386,,,,,,,binary:logistic,,,,,,0.315137218666146,,,,,8.0,,,,,,1.8696183860948847,0.963118034485032,,,,logloss,,,,,
XGBClassifier,0.9267241562340433,0.9979181993148598,,,,,,,,,,,,,,,,,,,,,,,,25.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.050736304914904266,,,,,,,binary:logitraw,,,,,,0.3481577157728555,,,,,9.0,,,,,,1.846383274580756,0.9758378176037228,,,,logloss,,,,,
RandomForestClassifier,0.926583364915175,1.0,,,,,,,,,,,,,,,,,,,,,,,,50.0,sqrt,,,,,,,,,,0.8532136008058546,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9265442591643074,0.9996888525122692,,,,,,,,,,,,,,,,,,,,,,,,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.054942639266581696,,,,,,,binary:logistic,,,,,,0.7176506958297398,,,,,1.0,,,,,,0.7357261307029883,0.5228424174252766,,,,logloss,,,,,
XGBClassifier,0.9262818910251308,0.9974689807929324,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,10.0,,,,,,2.0,1.0,,,,logloss,,,,,
RandomForestClassifier,0.926082421175439,0.9999999469212748,,,,,,,,,,,,,,,,,,,,,,,,35.0,sqrt,,,,,,,,,,0.8456372862674608,500.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9256874623804534,0.9995712035176332,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05064351843350751,,,,,,,binary:logistic,,,,,,0.3958327754501395,,,,,1.0,,,,,,0.8570293383741027,0.4974741554607887,,,,error,,,,,
XGBClassifier,0.925496100306052,0.999978343880076,,,,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.05,,,,,,,binary:logistic,,,,,,1.0,,,,,1.0,,,,,,0.5,1.0,,,,logloss,,,,,
XGBClassifier,0.9250904859569616,0.9995123392112713,,,,,,,,,,,,,,,,,,,,,,,,57.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.07626454453194426,,,,,,,binary:logitraw,,,,,,0.88709113013138,,,,,1.0,,,,,,1.33047439377081,0.3429784292546914,,,,logloss,,,,,
XGBClassifier,0.9247438553413652,0.9998326427791172,,,,,,,,,,,,,,,,,,,,,,,,28.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.12195558351564133,,,,,,,binary:logistic,,,,,,0.8346021142671544,,,,,1.0,,,,,,1.6199774458981857,0.3486152975495044,,,,error,,,,,
RandomForestClassifier,0.9243510462347544,0.9999998938425494,,,,,,,,balanced_subsample,,,,,,,,,,,,,,,,43.0,sqrt,,,,,,,,,,0.708628626711141,485.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
XGBClassifier,0.9230810979228172,0.9999202757545936,,,,,,,,,,,,,,,,,,,,,,,,54.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.22348117728637393,,,,,,,binary:logitraw,,,,,,0.43307303825547,,,,,4.0,,,,,,1.1683539300848027,0.6801053759819217,,,,logloss,,,,,
XGBClassifier,0.9225384475746738,0.9999426484373092,,,,,,,,,,,,,,,,,,,,,,,,26.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.29431993353038,,,,,,,binary:logitraw,,,,,,0.7283363455486442,,,,,6.0,,,,,,1.1114029232050924,0.9955627549837548,,,,error,,,,,
